,country,amount,success,PSP,3D_secured,card,minute,hour,day,weekday,fee
296,2,135,0,2,0,1,54,5,1,1,2.0
297,2,135,0,3,0,1,54,5,1,1,1.0
298,2,135,0,3,0,1,54,5,1,1,1.0
299,1,188,0,3,0,0,55,5,1,1,1.0
300,1,188,0,1,0,0,55,5,1,1,0.5
301,1,188,0,3,0,0,56,5,1,1,2.0
302,1,188,0,3,0,0,57,5,1,1,1.0
303,1,188,1,1,0,0,57,5,1,1,3.0
304,2,192,0,1,0,2,1,6,1,1,1.0
305,0,180,0,2,0,0,2,6,1,1,0.5
306,0,180,1,0,0,0,3,6,1,1,3.0
307,2,38,1,1,0,0,5,6,1,1,5.0
308,1,144,0,3,0,1,13,6,1,1,1.0
309,1,23,1,3,0,1,16,6,1,1,3.0
310,0,146,0,2,0,1,19,6,1,1,2.0
311,0,146,0,3,0,1,20,6,1,1,1.0
312,0,146,0,3,0,1,20,6,1,1,1.0
313,0,146,0,0,0,1,20,6,1,1,1.0
314,1,202,0,3,0,0,23,6,1,1,2.0
315,2,211,0,3,0,1,27,6,1,1,0.5
316,2,211,0,3,0,1,28,6,1,1,1.0
317,2,211,0,1,0,1,28,6,1,1,5.0
318,2,211,0,2,0,1,29,6,1,1,0.5
319,2,211,1,1,0,1,29,6,1,1,3.0
320,0,212,1,3,0,1,31,6,1,1,3.0
321,0,273,0,3,1,0,33,6,1,1,0.5
322,0,273,0,3,1,0,33,6,1,1,0.5
323,0,273,0,2,1,0,33,6,1,1,2.0
324,0,273,1,3,1,0,33,6,1,1,1.0
325,2,230,1,3,0,1,36,6,1,1,1.0
326,2,141,0,3,0,1,38,6,1,1,2.0
327,2,141,0,3,0,1,39,6,1,1,1.0
328,1,135,0,2,0,2,41,6,1,1,0.5
329,1,135,0,1,0,2,41,6,1,1,5.0
330,1,135,0,3,0,2,42,6,1,1,1.0
331,2,293,1,3,0,2,43,6,1,1,3.0
332,2,190,0,3,0,1,45,6,1,1,1.0
333,2,190,0,1,0,1,46,6,1,1,2.0
334,2,190,0,3,0,1,46,6,1,1,5.0
335,2,190,0,3,0,1,47,6,1,1,0.5
336,2,190,1,3,0,1,48,6,1,1,5.0
337,2,336,0,3,0,2,50,6,1,1,0.5
338,2,336,1,3,0,2,51,6,1,1,3.0
339,0,163,0,3,1,1,52,6,1,1,0.5
340,0,163,1,3,1,1,53,6,1,1,3.0
341,2,350,1,2,0,1,54,6,1,1,10.0
342,2,374,0,3,0,0,56,6,1,1,1.0
343,2,374,0,2,0,0,56,6,1,1,1.0
344,0,176,0,2,0,2,58,6,1,1,1.0
345,1,218,0,3,1,1,1,7,1,1,1.0
346,1,218,0,3,1,1,2,7,1,1,1.0
347,1,218,1,3,1,1,2,7,1,1,1.0
348,1,243,0,3,0,1,5,7,1,1,1.0
349,0,256,0,1,0,2,6,7,1,1,0.5
350,1,225,0,1,0,0,7,7,1,1,1.0
351,1,53,0,1,0,2,8,7,1,1,2.0
352,1,53,1,3,0,2,9,7,1,1,3.0
353,1,267,0,2,0,1,12,7,1,1,0.5
354,1,267,0,2,0,1,13,7,1,1,0.5
355,1,267,0,3,0,1,13,7,1,1,0.5
356,1,267,0,2,0,1,13,7,1,1,2.0
357,1,267,0,3,0,1,13,7,1,1,2.0
358,1,267,1,3,0,1,13,7,1,1,3.0
359,0,255,0,2,0,2,16,7,1,1,1.0
360,1,216,0,3,0,1,17,7,1,1,1.0
361,1,216,0,2,0,1,18,7,1,1,1.0
362,1,216,0,3,0,1,18,7,1,1,0.5
363,1,125,1,3,0,1,19,7,1,1,3.0
364,1,263,0,3,1,2,21,7,1,1,1.0
365,1,263,0,3,1,2,21,7,1,1,0.5
366,1,263,0,3,1,2,22,7,1,1,1.0
367,1,263,0,2,1,2,22,7,1,1,2.0
368,1,263,0,1,1,2,23,7,1,1,1.0
369,1,263,0,3,1,2,23,7,1,1,0.5
370,1,263,0,2,1,2,23,7,1,1,1.0
371,1,263,1,3,1,2,24,7,1,1,1.0
372,1,450,0,2,0,2,26,7,1,1,1.0
373,1,301,0,3,0,0,28,7,1,1,1.0
374,1,301,0,3,0,0,28,7,1,1,1.0
375,0,271,1,0,0,0,31,7,1,1,3.0
376,1,183,0,2,0,1,32,7,1,1,1.0
377,1,198,0,1,0,2,34,7,1,1,1.0
378,1,19,0,3,0,2,36,7,1,1,2.0
379,1,19,0,3,0,2,37,7,1,1,0.5
380,1,260,0,3,1,2,41,7,1,1,1.0
381,1,260,0,2,1,2,41,7,1,1,2.0
382,1,260,0,1,1,2,42,7,1,1,1.0
383,0,175,1,0,0,1,47,7,1,1,3.0
384,1,214,0,3,0,2,49,7,1,1,1.0
385,1,214,0,3,0,2,50,7,1,1,1.0
386,1,214,0,3,0,2,50,7,1,1,1.0
387,1,214,0,2,0,2,50,7,1,1,1.0
388,1,214,0,3,0,2,50,7,1,1,1.0
389,1,214,0,2,0,2,51,7,1,1,1.0
390,1,214,0,3,0,2,51,7,1,1,5.0
391,1,214,0,2,0,2,52,7,1,1,0.5
392,1,214,0,1,0,2,53,7,1,1,1.0
393,1,84,0,3,1,2,53,7,1,1,0.5
394,1,256,0,3,0,1,53,7,1,1,1.0
395,1,147,0,3,0,1,54,7,1,1,1.0
396,2,368,0,1,1,1,55,7,1,1,0.5
397,1,249,0,2,0,1,55,7,1,1,1.0
398,1,222,0,3,1,1,56,7,1,1,0.5
399,1,72,0,0,0,1,57,7,1,1,0.5
400,2,315,0,2,1,1,57,7,1,1,1.0
401,2,199,0,2,0,2,57,7,1,1,0.5
402,1,273,0,3,0,1,58,7,1,1,1.0
403,1,273,0,2,0,1,58,7,1,1,1.0
404,1,273,0,2,0,1,59,7,1,1,0.5
405,1,273,0,1,0,1,59,7,1,1,0.5
406,1,273,0,2,0,1,59,7,1,1,1.0
407,1,273,1,1,0,1,0,8,1,1,5.0
408,2,162,0,3,0,1,1,8,1,1,1.0
409,2,162,0,1,0,1,1,8,1,1,0.5
410,2,162,0,3,0,1,2,8,1,1,1.0
411,2,162,0,2,0,1,2,8,1,1,5.0
412,2,162,0,0,0,1,2,8,1,1,5.0
413,2,162,0,3,0,1,3,8,1,1,1.0
414,2,162,0,2,0,1,3,8,1,1,1.0
415,2,162,0,3,0,1,4,8,1,1,0.5
416,2,162,0,1,0,1,5,8,1,1,1.0
417,2,142,0,0,0,1,7,8,1,1,1.0
418,2,142,0,2,0,1,7,8,1,1,1.0
419,2,262,0,3,0,2,8,8,1,1,1.0
420,2,262,0,2,0,2,8,8,1,1,1.0
421,2,262,0,3,0,2,9,8,1,1,1.0
422,2,262,1,3,0,2,10,8,1,1,3.0
423,1,163,0,2,1,0,11,8,1,1,1.0
424,1,163,1,3,1,0,11,8,1,1,1.0
425,1,89,1,3,0,1,13,8,1,1,5.0
426,0,65,0,3,1,1,17,8,1,1,1.0
427,0,65,1,3,1,1,17,8,1,1,1.0
428,0,44,1,1,0,1,19,8,1,1,3.0
429,1,45,0,2,0,0,21,8,1,1,1.0
430,1,45,1,3,0,0,21,8,1,1,3.0
431,1,169,0,3,0,1,27,8,1,1,1.0
432,1,169,1,3,0,1,27,8,1,1,3.0
433,1,212,0,3,0,1,28,8,1,1,1.0
434,1,269,1,3,0,1,31,8,1,1,3.0
435,1,201,0,3,0,1,32,8,1,1,1.0
436,1,201,1,3,0,1,32,8,1,1,3.0
437,1,212,0,3,0,1,34,8,1,1,0.5
438,1,212,0,3,0,1,35,8,1,1,0.5
439,1,212,0,3,0,1,36,8,1,1,1.0
440,1,212,0,3,0,1,36,8,1,1,2.0
441,1,212,0,2,0,1,37,8,1,1,1.0
442,1,212,0,3,0,1,37,8,1,1,0.5
443,1,212,0,1,0,1,38,8,1,1,1.0
444,1,118,1,3,0,2,39,8,1,1,3.0
445,2,229,1,3,1,1,41,8,1,1,3.0
446,0,249,1,3,0,0,43,8,1,1,1.0
447,2,260,0,3,0,1,46,8,1,1,1.0
448,1,240,0,2,1,2,47,8,1,1,2.0
449,1,240,0,2,1,2,47,8,1,1,2.0
450,1,240,1,3,1,2,48,8,1,1,10.0
451,2,339,0,2,0,1,49,8,1,1,0.5
452,2,339,1,3,0,1,50,8,1,1,3.0
453,1,44,1,3,0,1,52,8,1,1,3.0
454,1,154,1,3,1,2,53,8,1,1,5.0
455,1,156,0,1,0,1,55,8,1,1,2.0
456,1,86,1,3,1,0,56,8,1,1,3.0
457,0,250,1,3,0,1,58,8,1,1,3.0
458,1,258,0,1,0,1,0,9,1,1,2.0
459,1,258,0,3,0,1,0,9,1,1,1.0
460,1,258,1,3,0,1,1,9,1,1,3.0
461,0,293,0,3,0,1,2,9,1,1,0.5
462,0,293,0,3,0,1,2,9,1,1,5.0
463,0,293,0,3,0,1,2,9,1,1,0.5
464,0,293,0,2,0,1,3,9,1,1,1.0
465,2,390,0,2,0,1,5,9,1,1,1.0
466,1,193,1,3,0,1,6,9,1,1,3.0
467,2,147,0,3,0,2,9,9,1,1,2.0
468,1,297,0,2,1,1,10,9,1,1,0.5
469,1,297,1,3,1,1,11,9,1,1,1.0
470,1,308,1,3,0,2,16,9,1,1,3.0
471,2,223,0,3,0,2,19,9,1,1,0.5
472,2,223,1,0,0,2,19,9,1,1,3.0
473,2,258,0,1,0,1,21,9,1,1,1.0
474,2,258,0,3,0,1,21,9,1,1,1.0
475,2,258,1,2,0,1,21,9,1,1,5.0
476,1,125,0,2,1,2,22,9,1,1,1.0
477,1,125,0,3,1,2,23,9,1,1,0.5
478,1,125,0,3,1,2,24,9,1,1,0.5
479,1,125,0,3,1,2,24,9,1,1,1.0
480,1,125,0,3,1,2,24,9,1,1,5.0
481,1,125,0,3,1,2,24,9,1,1,1.0
482,1,125,0,1,1,2,25,9,1,1,1.0
483,1,191,0,3,0,1,26,9,1,1,1.0
484,1,191,0,3,0,1,27,9,1,1,1.0
485,1,191,0,1,0,1,27,9,1,1,0.5
486,1,191,1,3,0,1,28,9,1,1,1.0
487,0,191,1,3,0,1,29,9,1,1,3.0
488,1,209,1,3,0,1,30,9,1,1,1.0
489,1,170,0,2,0,0,32,9,1,1,0.5
490,1,170,0,3,0,0,33,9,1,1,0.5
491,1,170,0,1,0,0,34,9,1,1,1.0
492,1,170,0,3,0,0,34,9,1,1,1.0
493,1,170,0,1,0,0,34,9,1,1,2.0
494,1,170,0,3,0,0,35,9,1,1,1.0
495,1,170,0,3,0,0,35,9,1,1,1.0
496,1,170,0,3,0,0,35,9,1,1,1.0
497,1,170,1,3,0,0,36,9,1,1,3.0
498,1,260,1,3,0,1,39,9,1,1,3.0
499,1,113,0,3,0,2,44,9,1,1,0.5
500,1,113,0,3,0,2,44,9,1,1,2.0
501,1,113,0,3,0,2,44,9,1,1,1.0
502,1,113,0,0,0,2,45,9,1,1,0.5
503,1,113,0,2,0,2,45,9,1,1,1.0
504,1,233,0,3,0,1,46,9,1,1,0.5
505,1,233,0,2,0,1,46,9,1,1,5.0
506,1,488,0,3,0,1,48,9,1,1,1.0
507,1,488,0,3,0,1,48,9,1,1,1.0
508,1,488,0,2,0,1,49,9,1,1,1.0
509,1,488,0,3,0,1,49,9,1,1,1.0
510,0,304,0,2,0,2,51,9,1,1,0.5
511,1,219,0,2,0,1,52,9,1,1,1.0
512,1,219,0,3,0,1,52,9,1,1,1.0
513,1,219,0,2,0,1,53,9,1,1,1.0
514,1,56,0,3,0,1,54,9,1,1,1.0
515,1,56,0,3,0,1,54,9,1,1,1.0
516,1,56,1,1,0,1,55,9,1,1,3.0
517,2,444,0,2,1,1,56,9,1,1,1.0
518,2,444,0,2,1,1,56,9,1,1,0.5
519,1,189,1,0,0,2,0,10,1,1,3.0
520,1,146,0,3,1,2,1,10,1,1,2.0
521,1,146,1,2,1,2,1,10,1,1,3.0
522,0,198,0,1,0,1,3,10,1,1,1.0
523,1,317,1,3,1,1,4,10,1,1,3.0
524,1,200,0,3,0,0,6,10,1,1,5.0
525,1,200,0,2,0,0,6,10,1,1,1.0
526,1,200,0,3,0,0,6,10,1,1,1.0
527,1,200,0,0,0,0,7,10,1,1,1.0
528,1,200,0,0,0,0,7,10,1,1,1.0
529,1,200,0,3,0,0,7,10,1,1,0.5
530,1,209,0,3,0,1,10,10,1,1,1.0
531,1,209,0,2,0,1,10,10,1,1,0.5
532,1,209,1,0,0,1,10,10,1,1,3.0
533,1,172,0,3,0,2,12,10,1,1,1.0
534,1,206,0,3,0,1,14,10,1,1,1.0
