,amount,success,3D_secured,Day of Week,Day of Month,Time of Day,previous_attemps,PSP_Goldcard,PSP_Moneycard,PSP_Simplecard,PSP_UK_Card,CARD_Diners,CARD_Master,CARD_Visa
119,121,1,1,5,1,2,2,0,0,0,1,0,1,0
120,274,1,0,5,1,2,0,0,0,0,1,0,1,0
121,264,0,1,5,1,2,0,0,0,1,0,0,1,0
122,132,0,0,5,1,2,0,0,0,0,1,0,1,0
123,132,0,0,5,1,2,1,0,0,1,0,0,1,0
124,132,0,0,5,1,2,2,0,1,0,0,0,1,0
125,132,0,0,5,1,2,3,0,0,1,0,0,1,0
126,132,0,0,5,1,2,4,0,1,0,0,0,1,0
127,228,0,0,5,1,2,0,0,0,1,0,1,0,0
128,279,0,1,5,1,2,0,0,0,0,1,0,1,0
129,279,0,1,5,1,2,1,0,0,1,0,0,1,0
130,279,0,1,5,1,2,2,0,0,0,1,0,1,0
131,279,1,1,5,1,2,3,0,0,0,1,0,1,0
132,104,1,0,5,1,2,0,0,1,0,0,0,1,0
133,184,0,0,5,1,2,0,0,0,1,0,0,1,0
134,258,0,0,5,1,2,0,0,0,0,1,1,0,0
135,209,1,0,5,1,2,0,0,0,0,1,0,1,0
136,260,0,0,5,1,2,0,0,0,0,1,0,1,0
137,260,0,0,5,1,2,1,0,0,0,1,0,1,0
138,260,0,0,5,1,2,2,0,0,0,1,0,1,0
139,260,0,0,5,1,2,3,0,1,0,0,0,1,0
140,383,0,0,5,1,2,0,0,0,0,1,0,1,0
141,109,0,0,5,1,2,0,0,1,0,0,0,1,0
142,161,0,0,5,1,2,0,0,0,1,0,0,1,0
143,127,0,0,5,1,2,0,0,0,1,0,0,1,0
144,127,0,0,5,1,2,1,0,1,0,0,0,1,0
145,127,0,0,5,1,2,2,0,1,0,0,0,1,0
146,233,1,1,5,1,2,0,0,0,1,0,0,0,1
147,129,0,1,5,1,2,0,0,0,0,1,0,1,0
148,129,0,1,5,1,2,1,1,0,0,0,0,1,0
149,129,0,1,5,1,2,2,0,0,0,1,0,1,0
150,129,1,1,5,1,2,3,0,0,0,1,0,1,0
151,243,0,0,5,1,2,0,0,0,1,0,0,1,0
152,243,0,0,5,1,2,1,0,1,0,0,0,1,0
153,243,1,0,5,1,2,2,0,0,0,1,0,1,0
154,131,0,0,5,1,2,0,0,0,0,1,0,1,0
155,131,1,0,5,1,2,1,0,0,0,1,0,1,0
156,225,0,0,5,1,2,0,0,0,0,1,0,1,0
157,246,0,0,5,1,2,0,0,0,1,0,1,0,0
158,126,1,1,5,1,2,0,0,0,0,1,1,0,0
159,82,0,1,5,1,2,0,0,0,0,1,0,1,0
160,82,0,1,5,1,2,1,0,0,0,1,0,1,0
161,82,0,1,5,1,2,2,0,0,0,1,0,1,0
162,82,0,1,5,1,2,3,0,0,0,1,0,1,0
163,82,1,1,5,1,2,4,0,1,0,0,0,1,0
164,329,0,0,5,1,2,0,0,0,0,1,0,1,0
165,329,0,0,5,1,2,1,0,1,0,0,0,1,0
166,329,1,0,5,1,3,2,0,0,0,1,0,1,0
167,335,1,0,5,1,3,0,0,0,0,1,0,1,0
168,173,0,1,5,1,3,0,0,0,0,1,0,1,0
169,173,1,1,5,1,3,1,0,0,0,1,0,1,0
170,222,0,0,5,1,3,0,0,0,0,1,0,1,0
171,222,1,0,5,1,3,1,0,0,0,1,0,1,0
172,181,0,1,5,1,3,0,0,0,1,0,0,1,0
173,181,0,1,5,1,3,1,0,0,1,0,0,1,0
174,181,0,1,5,1,3,2,0,0,0,1,0,1,0
175,181,1,1,5,1,3,3,0,0,1,0,0,1,0
176,85,0,1,5,1,3,0,1,0,0,0,1,0,0
177,85,0,1,5,1,3,1,0,0,0,1,1,0,0
178,85,0,1,5,1,3,2,0,0,0,1,1,0,0
179,85,0,1,5,1,3,3,0,0,1,0,1,0,0
180,85,1,1,5,1,3,4,0,0,0,1,1,0,0
181,62,0,0,5,1,3,0,0,1,0,0,0,1,0
182,62,0,0,5,1,3,1,0,0,0,1,0,1,0
183,62,0,0,5,1,3,2,0,0,0,1,0,1,0
184,62,0,0,5,1,3,3,0,0,0,1,0,1,0
185,62,0,0,5,1,3,4,0,0,0,1,0,1,0
186,62,0,0,5,1,3,5,0,0,0,1,0,1,0
187,62,0,0,5,1,3,6,1,0,0,0,0,1,0
188,291,0,0,5,1,3,0,0,0,0,1,0,1,0
189,291,1,0,5,1,3,1,0,0,0,1,0,1,0
190,107,1,1,5,1,3,0,0,0,0,1,0,1,0
191,78,0,0,5,1,3,0,0,1,0,0,1,0,0
192,22,0,1,5,1,3,0,0,0,0,1,0,1,0
193,22,0,1,5,1,3,1,0,0,0,1,0,1,0
194,22,0,1,5,1,3,2,0,0,0,1,0,1,0
195,164,1,0,5,1,3,0,0,1,0,0,0,1,0
196,203,0,0,5,1,3,0,0,0,1,0,0,1,0
197,203,0,0,5,1,3,1,0,0,1,0,0,1,0
198,277,0,0,5,1,3,0,0,0,0,1,1,0,0
199,277,0,0,5,1,3,1,0,0,1,0,1,0,0
200,277,0,0,5,1,3,2,0,0,1,0,1,0,0
201,105,1,0,5,1,3,0,0,0,1,0,0,1,0
202,239,0,1,5,1,3,0,0,0,0,1,0,0,1
203,239,1,1,5,1,4,1,0,0,0,1,0,0,1
204,113,0,1,5,1,4,0,0,1,0,0,0,0,1
205,113,1,1,5,1,4,1,0,0,0,1,0,0,1
206,379,1,0,5,1,4,0,0,0,0,1,0,1,0
207,175,0,1,5,1,4,0,0,0,0,1,0,1,0
208,84,0,1,5,1,4,0,0,1,0,0,0,1,0
209,268,0,1,5,1,4,0,0,0,1,0,1,0,0
210,268,0,1,5,1,4,1,0,0,0,1,1,0,0
211,268,1,1,5,1,4,2,0,0,1,0,1,0,0
212,129,0,0,5,1,4,0,0,0,1,0,0,1,0
213,129,0,0,5,1,4,1,0,0,1,0,0,1,0
214,129,0,0,5,1,4,2,0,0,1,0,0,1,0
215,129,1,0,5,1,4,3,0,0,0,1,0,1,0
216,224,0,0,5,1,4,0,1,0,0,0,0,1,0
217,224,0,0,5,1,4,1,0,0,0,1,0,1,0
218,224,0,0,5,1,4,2,0,0,1,0,0,1,0
219,224,0,0,5,1,4,3,0,0,0,1,0,1,0
220,224,0,0,5,1,4,4,0,0,0,1,0,1,0
221,224,1,0,5,1,4,5,0,0,0,1,0,1,0
222,242,1,0,5,1,4,0,0,0,0,1,0,1,0
223,45,0,0,5,1,4,0,0,0,1,0,0,1,0
224,45,1,0,5,1,4,1,0,0,0,1,0,1,0
225,322,0,0,5,1,4,0,0,0,0,1,0,0,1
226,322,0,0,5,1,4,1,0,0,0,1,0,0,1
227,322,0,0,5,1,4,2,0,1,0,0,0,0,1
228,322,1,0,5,1,4,3,0,0,0,1,0,0,1
229,164,0,1,5,1,4,0,0,0,0,1,0,1,0
230,164,0,1,5,1,4,1,0,0,0,1,0,1,0
231,164,0,1,5,1,4,2,0,0,0,1,0,1,0
232,164,0,1,5,1,4,3,0,0,1,0,0,1,0
233,164,0,1,5,1,4,4,0,0,1,0,0,1,0
234,164,0,1,5,1,4,5,0,0,1,0,0,1,0
235,164,0,1,5,1,4,6,0,0,1,0,0,1,0
236,158,0,0,5,1,4,0,0,1,0,0,0,1,0
237,140,0,0,5,1,4,0,0,1,0,0,0,1,0
238,13,0,0,5,1,4,0,0,1,0,0,1,0,0
239,13,0,0,5,1,4,1,0,0,0,1,1,0,0
240,85,0,0,5,1,4,0,0,0,0,1,0,1,0
241,85,0,0,5,1,4,1,0,0,0,1,0,1,0
242,85,0,0,5,1,4,2,0,0,1,0,0,1,0
243,85,1,0,5,1,4,3,0,0,1,0,0,1,0
244,197,0,0,5,1,4,0,1,0,0,0,0,1,0
245,215,0,0,5,1,4,0,0,1,0,0,0,1,0
246,151,0,0,5,1,4,0,0,0,0,1,0,1,0
247,151,0,0,5,1,4,1,0,0,1,0,0,1,0
248,151,0,0,5,1,4,2,0,0,1,0,0,1,0
249,151,0,0,5,1,4,3,0,1,0,0,0,1,0
250,151,0,0,5,1,4,4,0,0,0,1,0,1,0
251,151,1,0,5,1,4,5,0,0,1,0,0,1,0
252,208,0,0,5,1,4,0,0,0,0,1,0,0,1
253,208,0,0,5,1,4,1,0,1,0,0,0,0,1
254,208,0,0,5,1,4,2,1,0,0,0,0,0,1
255,208,0,0,5,1,4,3,0,0,0,1,0,0,1
256,208,0,0,5,1,4,4,1,0,0,0,0,0,1
257,221,0,0,5,1,4,0,0,0,1,0,0,1,0
258,221,0,0,5,1,4,1,0,0,0,1,0,1,0
259,221,0,0,5,1,4,2,0,0,1,0,0,1,0
260,221,1,0,5,1,4,3,1,0,0,0,0,1,0
261,257,0,0,5,1,4,0,1,0,0,0,0,1,0
262,116,0,0,5,1,4,0,0,1,0,0,0,0,1
263,209,0,1,5,1,4,0,0,0,0,1,0,1,0
264,263,0,1,5,1,5,0,0,1,0,0,0,0,1
265,263,0,1,5,1,5,1,0,0,0,1,0,0,1
266,263,1,1,5,1,5,2,0,0,1,0,0,0,1
267,84,0,0,5,1,5,0,0,0,1,0,0,1,0
268,136,1,1,5,1,5,0,0,0,0,1,0,1,0
269,211,0,0,5,1,5,0,1,0,0,0,0,1,0
270,211,0,0,5,1,5,1,0,0,0,1,0,1,0
271,211,1,0,5,1,5,2,0,0,0,1,0,1,0
272,232,0,0,5,1,5,0,0,0,0,1,0,0,1
273,232,1,0,5,1,5,1,0,0,1,0,0,0,1
274,243,1,0,5,1,5,0,0,0,0,1,0,1,0
275,180,0,0,5,1,5,0,0,0,0,1,0,0,1
276,180,0,0,5,1,5,1,0,0,0,1,0,0,1
277,175,0,0,5,1,5,0,0,1,0,0,0,0,1
278,175,0,0,5,1,5,1,0,0,0,1,0,0,1
279,175,0,0,5,1,5,2,0,1,0,0,0,0,1
280,175,1,0,5,1,5,3,0,0,0,1,0,0,1
281,125,1,0,5,1,5,0,0,0,0,1,0,0,1
282,247,0,1,5,1,5,0,0,1,0,0,0,1,0
283,247,0,1,5,1,5,1,0,0,1,0,0,1,0
284,247,0,1,5,1,5,2,0,0,0,1,0,1,0
285,247,1,1,5,1,5,3,0,0,0,1,0,1,0
286,246,0,0,5,1,5,0,0,0,1,0,0,1,0
287,117,0,0,5,1,5,0,0,1,0,0,0,0,1
288,376,1,0,5,1,5,0,0,0,0,1,0,1,0
289,174,1,1,5,1,5,0,0,0,0,1,0,1,0
290,162,0,0,5,1,5,0,0,0,0,1,1,0,0
291,162,0,0,5,1,5,1,0,0,0,1,1,0,0
292,129,0,0,5,1,5,0,0,0,1,0,1,0,0
293,215,0,0,5,1,5,0,0,0,1,0,0,1,0
294,355,0,0,5,1,5,0,0,0,0,1,1,0,0
295,355,1,0,5,1,5,1,0,0,1,0,1,0,0
296,135,0,0,5,1,5,0,0,0,0,1,0,1,0
297,135,0,0,5,1,5,1,0,0,0,1,0,1,0
298,135,0,0,5,1,5,2,0,0,1,0,0,1,0
299,135,0,0,5,1,5,3,0,0,0,1,0,1,0
300,135,0,0,5,1,5,4,0,0,0,1,0,1,0
301,188,0,0,5,1,5,0,0,0,0,1,1,0,0
302,188,0,0,5,1,5,1,0,1,0,0,1,0,0
303,188,0,0,5,1,5,2,0,0,0,1,1,0,0
304,188,0,0,5,1,5,3,0,0,0,1,1,0,0
305,188,1,0,5,1,5,4,0,1,0,0,1,0,0
306,192,0,0,5,1,6,0,0,1,0,0,0,0,1
307,180,0,0,5,1,6,0,0,0,1,0,1,0,0
308,180,1,0,5,1,6,1,1,0,0,0,1,0,0
309,38,1,0,5,1,6,0,0,1,0,0,1,0,0
310,144,0,0,5,1,6,0,0,0,0,1,0,1,0
311,23,1,0,5,1,6,0,0,0,0,1,0,1,0
312,146,0,0,5,1,6,0,0,0,1,0,0,1,0
313,146,0,0,5,1,6,1,0,0,0,1,0,1,0
314,146,0,0,5,1,6,2,0,0,0,1,0,1,0
315,146,0,0,5,1,6,3,1,0,0,0,0,1,0
316,202,0,0,5,1,6,0,0,0,0,1,1,0,0
317,211,0,0,5,1,6,0,0,0,0,1,0,1,0
318,211,0,0,5,1,6,1,0,0,0,1,0,1,0
319,211,0,0,5,1,6,2,0,1,0,0,0,1,0
320,211,0,0,5,1,6,3,0,0,1,0,0,1,0
321,211,1,0,5,1,6,4,0,1,0,0,0,1,0
322,212,1,0,5,1,6,0,0,0,0,1,0,1,0
323,273,0,1,5,1,6,0,0,0,0,1,1,0,0
324,273,0,1,5,1,6,1,0,0,0,1,1,0,0
325,273,0,1,5,1,6,2,0,0,1,0,1,0,0
326,273,1,1,5,1,6,3,0,0,0,1,1,0,0
327,230,1,0,5,1,6,0,0,0,0,1,0,1,0
328,141,0,0,5,1,6,0,0,0,0,1,0,1,0
329,141,0,0,5,1,6,1,0,0,0,1,0,1,0
330,135,0,0,5,1,6,0,0,0,1,0,0,0,1
331,135,0,0,5,1,6,1,0,1,0,0,0,0,1
332,135,0,0,5,1,6,2,0,0,0,1,0,0,1
333,293,1,0,5,1,6,0,0,0,0,1,0,0,1
334,190,0,0,5,1,6,0,0,0,0,1,0,1,0
335,190,0,0,5,1,6,1,0,1,0,0,0,1,0
336,190,0,0,5,1,6,2,0,0,0,1,0,1,0
337,190,0,0,5,1,6,3,0,0,0,1,0,1,0
338,190,1,0,5,1,6,4,0,0,0,1,0,1,0
339,336,0,0,5,1,6,0,0,0,0,1,0,0,1
340,336,1,0,5,1,6,1,0,0,0,1,0,0,1
341,163,0,1,5,1,6,0,0,0,0,1,0,1,0
342,163,1,1,5,1,6,1,0,0,0,1,0,1,0
343,350,1,0,5,1,6,0,0,0,1,0,0,1,0
344,374,0,0,5,1,6,0,0,0,0,1,1,0,0
345,374,0,0,5,1,6,1,0,0,1,0,1,0,0
346,176,0,0,5,1,6,0,0,0,1,0,0,0,1
347,218,0,1,5,1,7,0,0,0,0,1,0,1,0
348,218,0,1,5,1,7,1,0,0,0,1,0,1,0
349,218,1,1,5,1,7,2,0,0,0,1,0,1,0
350,243,0,0,5,1,7,0,0,0,0,1,0,1,0
351,256,0,0,5,1,7,0,0,1,0,0,0,0,1
352,225,0,0,5,1,7,0,0,1,0,0,1,0,0
353,53,0,0,5,1,7,0,0,1,0,0,0,0,1
354,53,1,0,5,1,7,1,0,0,0,1,0,0,1
355,267,0,0,5,1,7,0,0,0,1,0,0,1,0
356,267,0,0,5,1,7,1,0,0,1,0,0,1,0
357,267,0,0,5,1,7,2,0,0,0,1,0,1,0
358,267,0,0,5,1,7,3,0,0,1,0,0,1,0
359,267,0,0,5,1,7,4,0,0,0,1,0,1,0
360,267,1,0,5,1,7,5,0,0,0,1,0,1,0
361,255,0,0,5,1,7,0,0,0,1,0,0,0,1
362,216,0,0,5,1,7,0,0,0,0,1,0,1,0
363,216,0,0,5,1,7,1,0,0,1,0,0,1,0
364,216,0,0,5,1,7,2,0,0,0,1,0,1,0
365,125,1,0,5,1,7,0,0,0,0,1,0,1,0
366,263,0,1,5,1,7,0,0,0,0,1,0,0,1
367,263,0,1,5,1,7,1,0,0,0,1,0,0,1
368,263,0,1,5,1,7,2,0,0,0,1,0,0,1
369,263,0,1,5,1,7,3,0,0,1,0,0,0,1
370,263,0,1,5,1,7,4,0,1,0,0,0,0,1
371,263,0,1,5,1,7,5,0,0,0,1,0,0,1
372,263,0,1,5,1,7,6,0,0,1,0,0,0,1
373,263,1,1,5,1,7,7,0,0,0,1,0,0,1
374,450,0,0,5,1,7,0,0,0,1,0,0,0,1
375,301,0,0,5,1,7,0,0,0,0,1,1,0,0
376,301,0,0,5,1,7,1,0,0,0,1,1,0,0
377,271,1,0,5,1,7,0,1,0,0,0,1,0,0
378,183,0,0,5,1,7,0,0,0,1,0,0,1,0
379,198,0,0,5,1,7,0,0,1,0,0,0,0,1
380,19,0,0,5,1,7,0,0,0,0,1,0,0,1
381,19,0,0,5,1,7,1,0,0,0,1,0,0,1
382,260,0,1,5,1,7,0,0,0,0,1,0,0,1
383,260,0,1,5,1,7,1,0,0,1,0,0,0,1
384,260,0,1,5,1,7,2,0,1,0,0,0,0,1
385,175,1,0,5,1,7,0,1,0,0,0,0,1,0
386,214,0,0,5,1,7,0,0,0,0,1,0,0,1
387,214,0,0,5,1,7,1,0,0,0,1,0,0,1
388,214,0,0,5,1,7,2,0,0,0,1,0,0,1
389,214,0,0,5,1,7,3,0,0,1,0,0,0,1
390,214,0,0,5,1,7,4,0,0,0,1,0,0,1
391,214,0,0,5,1,7,5,0,0,1,0,0,0,1
392,214,0,0,5,1,7,6,0,0,0,1,0,0,1
393,214,0,0,5,1,7,7,0,0,1,0,0,0,1
394,214,0,0,5,1,7,8,0,1,0,0,0,0,1
395,84,0,1,5,1,7,0,0,0,0,1,0,0,1
396,256,0,0,5,1,7,0,0,0,0,1,0,1,0
397,147,0,0,5,1,7,0,0,0,0,1,0,1,0
398,368,0,1,5,1,7,0,0,1,0,0,0,1,0
399,249,0,0,5,1,7,0,0,0,1,0,0,1,0
400,222,0,1,5,1,7,0,0,0,0,1,0,1,0
401,72,0,0,5,1,7,0,1,0,0,0,0,1,0
402,315,0,1,5,1,7,0,0,0,1,0,0,1,0
403,199,0,0,5,1,7,0,0,0,1,0,0,0,1
404,273,0,0,5,1,7,0,0,0,0,1,0,1,0
405,273,0,0,5,1,7,1,0,0,1,0,0,1,0
406,273,0,0,5,1,7,2,0,0,1,0,0,1,0
407,273,0,0,5,1,7,3,0,1,0,0,0,1,0
408,273,0,0,5,1,7,4,0,0,1,0,0,1,0
409,273,1,0,5,1,8,5,0,1,0,0,0,1,0
410,162,0,0,5,1,8,0,0,0,0,1,0,1,0
411,162,0,0,5,1,8,1,0,1,0,0,0,1,0
412,162,0,0,5,1,8,2,0,0,0,1,0,1,0
413,162,0,0,5,1,8,3,0,0,1,0,0,1,0
414,162,0,0,5,1,8,4,1,0,0,0,0,1,0
415,162,0,0,5,1,8,5,0,0,0,1,0,1,0
416,162,0,0,5,1,8,6,0,0,1,0,0,1,0
417,162,0,0,5,1,8,7,0,0,0,1,0,1,0
418,162,0,0,5,1,8,8,0,1,0,0,0,1,0
419,142,0,0,5,1,8,0,1,0,0,0,0,1,0
420,142,0,0,5,1,8,1,0,0,1,0,0,1,0
421,262,0,0,5,1,8,0,0,0,0,1,0,0,1
422,262,0,0,5,1,8,1,0,0,1,0,0,0,1
423,262,0,0,5,1,8,2,0,0,0,1,0,0,1
424,262,1,0,5,1,8,3,0,0,0,1,0,0,1
425,163,0,1,5,1,8,0,0,0,1,0,1,0,0
426,163,1,1,5,1,8,1,0,0,0,1,1,0,0
427,89,1,0,5,1,8,0,0,0,0,1,0,1,0
428,65,0,1,5,1,8,0,0,0,0,1,0,1,0
429,65,1,1,5,1,8,1,0,0,0,1,0,1,0
430,44,1,0,5,1,8,0,0,1,0,0,0,1,0
431,45,0,0,5,1,8,0,0,0,1,0,1,0,0
432,45,1,0,5,1,8,1,0,0,0,1,1,0,0
433,169,0,0,5,1,8,0,0,0,0,1,0,1,0
434,169,1,0,5,1,8,1,0,0,0,1,0,1,0
435,212,0,0,5,1,8,0,0,0,0,1,0,1,0
436,269,1,0,5,1,8,0,0,0,0,1,0,1,0
437,201,0,0,5,1,8,0,0,0,0,1,0,1,0
438,201,1,0,5,1,8,1,0,0,0,1,0,1,0
439,212,0,0,5,1,8,0,0,0,0,1,0,1,0
440,212,0,0,5,1,8,1,0,0,0,1,0,1,0
441,212,0,0,5,1,8,2,0,0,0,1,0,1,0
442,212,0,0,5,1,8,3,0,0,0,1,0,1,0
443,212,0,0,5,1,8,4,0,0,1,0,0,1,0
444,212,0,0,5,1,8,5,0,0,0,1,0,1,0
445,212,0,0,5,1,8,6,0,1,0,0,0,1,0
446,118,1,0,5,1,8,0,0,0,0,1,0,0,1
447,229,1,1,5,1,8,0,0,0,0,1,0,1,0
448,249,1,0,5,1,8,0,0,0,0,1,1,0,0
449,260,0,0,5,1,8,0,0,0,0,1,0,1,0
450,240,0,1,5,1,8,0,0,0,1,0,0,0,1
451,240,0,1,5,1,8,1,0,0,1,0,0,0,1
452,240,1,1,5,1,8,2,0,0,0,1,0,0,1
453,339,0,0,5,1,8,0,0,0,1,0,0,1,0
454,339,1,0,5,1,8,1,0,0,0,1,0,1,0
455,44,1,0,5,1,8,0,0,0,0,1,0,1,0
456,154,1,1,5,1,8,0,0,0,0,1,0,0,1
457,156,0,0,5,1,8,0,0,1,0,0,0,1,0
458,86,1,1,5,1,8,0,0,0,0,1,1,0,0
459,250,1,0,5,1,8,0,0,0,0,1,0,1,0
